Date,Expiry,Strike Price,Underlying Value,Spot_At_Expiry,Close,Realized_Payoff,PnL,Viable
2025-03-27,2025-04-17,21500.0,23591.95,23851.65,12.8,0.0,-12.8,False
2025-03-27,2025-04-17,21450.0,23591.95,23851.65,8.2,0.0,-8.2,False
2025-03-27,2025-04-17,24050.0,23591.95,23851.65,429.1,198.34999999999854,-230.75000000000148,False
2025-03-27,2025-04-17,24000.0,23591.95,23851.65,432.45,148.34999999999854,-284.10000000000144,False
2025-03-27,2025-04-17,22650.0,23591.95,23851.65,37.35,0.0,-37.35,False
2025-03-27,2025-04-17,22600.0,23591.95,23851.65,38.25,0.0,-38.25,False
2025-03-27,2025-04-17,21400.0,23591.95,23851.65,12.8,0.0,-12.8,False
2025-03-27,2025-04-17,23950.0,23591.95,23851.65,374.1,98.34999999999854,-275.7500000000015,False
2025-03-26,2025-04-17,22050.0,23486.85,23851.65,23.2,0.0,-23.2,False
2025-03-27,2025-04-17,24700.0,23591.95,23851.65,2157.9,848.3499999999985,-1309.5500000000015,False
2025-03-26,2025-04-17,23800.0,23486.85,23851.65,368.95,0.0,-368.95,False
2025-03-26,2025-04-17,21250.0,23486.85,23851.65,9.5,0.0,-9.5,False
2025-03-25,2025-04-17,23650.0,23668.65,23851.65,230.55,0.0,-230.55,False
2025-03-25,2025-04-17,24100.0,23668.65,23851.65,441.1,248.34999999999854,-192.75000000000148,False
2025-03-25,2025-04-17,24050.0,23668.65,23851.65,429.1,198.34999999999854,-230.75000000000148,False
2025-03-25,2025-04-17,25400.0,23668.65,23851.65,2844.9,1548.3499999999985,-1296.5500000000015,False
2025-03-25,2025-04-17,25350.0,23668.65,23851.65,2795.45,1498.3499999999985,-1297.1000000000013,False
2025-03-25,2025-04-17,25300.0,23668.65,23851.65,2746.05,1448.3499999999985,-1297.7000000000016,False
2025-03-25,2025-04-17,25250.0,23668.65,23851.65,2696.7,1398.3499999999985,-1298.3500000000013,False
2025-03-25,2025-04-17,25200.0,23668.65,23851.65,2647.4,1348.3499999999985,-1299.0500000000015,False
2025-03-25,2025-04-17,25150.0,23668.65,23851.65,2598.15,1298.3499999999985,-1299.8000000000015,False
2025-03-25,2025-04-17,25100.0,23668.65,23851.65,2548.95,1248.3499999999985,-1300.6000000000013,False
2025-03-25,2025-04-17,25050.0,23668.65,23851.65,2499.8,1198.3499999999985,-1301.4500000000016,False
2025-03-25,2025-04-17,25000.0,23668.65,23851.65,2450.7,1148.3499999999985,-1302.3500000000013,False
2025-03-25,2025-04-17,23700.0,23668.65,23851.65,246.55,0.0,-246.55,False
2025-03-25,2025-04-17,24950.0,23668.65,23851.65,2401.65,1098.3499999999985,-1303.3000000000015,False
2025-03-25,2025-04-17,24850.0,23668.65,23851.65,2303.85,998.3499999999985,-1305.5000000000014,False
2025-03-25,2025-04-17,24800.0,23668.65,23851.65,2255.1,948.3499999999985,-1306.7500000000014,False
2025-03-25,2025-04-17,24750.0,23668.65,23851.65,2206.45,898.3499999999985,-1308.1000000000013,False
2025-03-25,2025-04-17,24700.0,23668.65,23851.65,2157.9,848.3499999999985,-1309.5500000000015,False
2025-03-25,2025-04-17,24650.0,23668.65,23851.65,2109.45,798.3499999999985,-1311.1000000000013,False
2025-03-25,2025-04-17,24600.0,23668.65,23851.65,2061.15,748.3499999999985,-1312.8000000000015,False
2025-03-25,2025-04-17,24550.0,23668.65,23851.65,2013.0,698.3499999999985,-1314.6500000000015,False
2025-03-25,2025-04-17,24500.0,23668.65,23851.65,1965.0,648.3499999999985,-1316.6500000000015,False
2025-03-25,2025-04-17,24450.0,23668.65,23851.65,1917.15,598.3499999999985,-1318.8000000000015,False
2025-03-25,2025-04-17,24400.0,23668.65,23851.65,1869.5,548.3499999999985,-1321.1500000000015,False
2025-03-25,2025-04-17,24350.0,23668.65,23851.65,1822.05,498.34999999999854,-1323.7000000000014,False
2025-03-25,2025-04-17,24300.0,23668.65,23851.65,1774.85,448.34999999999854,-1326.5000000000014,False
2025-03-25,2025-04-17,24900.0,23668.65,23851.65,2352.75,1048.3499999999985,-1304.4000000000015,False
2025-03-25,2025-04-17,21100.0,23668.65,23851.65,8.9,0.0,-8.9,False
2025-03-25,2025-04-17,21150.0,23668.65,23851.65,13.85,0.0,-13.85,False
2025-03-25,2025-04-17,23750.0,23668.65,23851.65,268.1,0.0,-268.1,False
2025-03-25,2025-04-17,21750.0,23668.65,23851.65,15.95,0.0,-15.95,False
2025-03-25,2025-04-17,22900.0,23668.65,23851.65,69.0,0.0,-69.0,False
2025-03-25,2025-04-17,21700.0,23668.65,23851.65,18.55,0.0,-18.55,False
2025-03-25,2025-04-17,21650.0,23668.65,23851.65,14.35,0.0,-14.35,False
2025-03-25,2025-04-17,22850.0,23668.65,23851.65,66.4,0.0,-66.4,False
2025-03-25,2025-04-17,22800.0,23668.65,23851.65,59.9,0.0,-59.9,False
2025-03-25,2025-04-17,21600.0,23668.65,23851.65,14.4,0.0,-14.4,False
2025-03-25,2025-04-17,21550.0,23668.65,23851.65,14.1,0.0,-14.1,False
